"INVENTORY_PK","SERIAL_NUMBER","EQUIPMENT_TYPE_PK","MAKE","MODEL","SOFTWARE_VERSION","FIRMWARE_VERSION","CALIBRATION_DATE","EQUIPMENT_LOCATION_PK","CONTACT_PK","FUNDING_SOURCE_PK","PURCHASE_DATE","PURCHASE_PRICE_USD","MAC_ADDRESS","IMEI"
NA,2411601,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-03,2,757,7,2025-03-03,2495,"F0:5E:CD:25:9C:BD",NA
NA,2411602,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-04,2,757,7,2025-03-04,2495,"F0:5E:CD:25:9E:39",NA
NA,2411603,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-05,2,757,7,2025-03-05,2495,"F0:5E:CD:25:9E:50",NA
NA,2411604,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-05,2,757,7,2025-03-05,2495,"F0:5E:CD:25:9E:0D",NA
NA,2411605,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-05,2,757,7,2025-03-05,2495,"D0:2E:AB:D9:33:95",NA
NA,2411606,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-05,2,757,7,2025-03-05,2495,"D0:2E:AB:D9:2D:7C",NA
NA,2411607,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-26,2,757,7,2025-03-26,2495,"D0:2E:AB:D9:BC:56",NA
NA,2411608,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-26,2,757,7,2025-03-26,2495,"F0:5E:CD:25:9E:21",NA
NA,2411609,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-26,2,757,7,2025-03-26,2495,"D0:2E:AB:D9:BB:6E",NA
NA,2411610,1,"LOWELL","DOT-2",NA,"3.9.90",2025-03-26,2,757,7,2025-03-26,2495,"F0:5E:CD:25:9D:B0",NA
NA,2411611,1,"LOWELL","DOT-2",NA,"3.9.90",2025-04-15,2,757,7,2025-04-15,2495,"F0:5E:CD:25:9E:45",NA
NA,2411612,1,"LOWELL","DOT-2",NA,"3.9.90",2025-04-15,2,757,7,2025-04-15,2495,"F0:5E:CD:25:9D:F3",NA
NA,2411613,1,"LOWELL","DOT-2",NA,"3.9.90",2025-04-15,2,757,7,2025-04-15,2495,"D0:2E:AB:D9:32:BF",NA
NA,2411614,1,"LOWELL","DOT-2",NA,"3.9.90",2025-04-15,2,757,7,2025-04-15,2495,"D0:2E:AB:D9:29:76",NA
NA,2411615,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"D0:2E:AB:D9:BC:45",NA
NA,2411616,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9C:AB",NA
NA,2411617,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"D0:2E:AB:D9:33:B9",NA
NA,2411618,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:A4:20",NA
NA,2411619,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"D0:2E:AB:D8:C6:3A",NA
NA,2411620,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9E:1C",NA
NA,2411621,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9D:F0",NA
NA,2411622,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9B:D4",NA
NA,2411623,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"D0:2E:AB:D9:32:64",NA
NA,2411624,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9E:3E",NA
NA,2411625,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9E:46",NA
NA,2411626,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9D:ED",NA
NA,2411627,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9E:01",NA
NA,2411628,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"D0:2E:AB:D9:BD:45",NA
NA,2411629,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"D0:2E:AB:D9:BB:4D",NA
NA,2411630,1,"LOWELL","DOT-2",NA,"3.9.90",NA,2,757,7,NA,2495,"F0:5E:CD:25:9D:B6",NA
NA,2411765,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-24,2,757,7,2025-03-24,1000,"F0:5E:CD:25:A4:33",NA
NA,2411791,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-24,2,757,7,2025-03-24,1000,"F0:5E:CD:25:95:DC",NA
NA,2411792,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-24,2,757,7,2025-03-24,1000,"F0:5E:CD:25:A4:57",NA
NA,2412700,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-24,2,757,7,2025-03-24,1000,"F0:5E:CD:25:A2:4B",NA
NA,2412701,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-24,2,757,7,2025-03-24,1000,"F0:5E:CD:25:A2:57",NA
NA,2412702,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A3:73",NA
NA,2412703,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A0:68",NA
NA,2412704,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A3:16",NA
NA,2412705,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-23,2,757,7,2025-04-23,1000,"F0:5E:CD:25:A4:4F",NA
NA,2412706,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-03,2,757,7,2025-04-03,1000,"F0:5E:CD:25:A3:14",NA
NA,2412707,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A0:7F",NA
NA,2412709,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A3:4C",NA
NA,2412710,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A3:7F",NA
NA,2412711,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A4:5C",NA
NA,2412712,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A3:21",NA
NA,2412713,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A3:18",NA
NA,2412714,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:A4:49",NA
NA,2412715,1,"LOWELL","TDO-1",NA,"4.1.23",2025-03-26,2,757,7,2025-03-26,1000,"F0:5E:CD:25:9D:AD",NA
NA,2412716,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-03,2,757,7,2025-04-03,1000,"F0:5E:CD:25:A2:78",NA
NA,2412717,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-03,2,757,7,2025-04-03,1000,"F0:5E:CD:25:A3:64",NA
NA,2412718,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-03,2,757,7,2025-04-03,1000,"F0:5E:CD:25:A2:66",NA
NA,2412719,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-03,2,757,7,2025-04-03,1000,"F0:5E:CD:25:A4:5A",NA
NA,2412720,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-03,2,757,7,2025-04-03,1000,"F0:5E:CD:25:A3:5F",NA
NA,2412721,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A3:4A",NA
NA,2412722,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A2:4F",NA
NA,2412723,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A0:52",NA
NA,2412725,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A3:25",NA
NA,2412726,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A3:4F",NA
NA,2412727,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A3:27",NA
NA,2412728,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A3:13",NA
NA,2412729,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A0:6D",NA
NA,2412730,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-16,2,757,7,2025-04-16,1000,"F0:5E:CD:25:A2:46",NA
NA,2412732,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-25,2,757,7,2025-04-25,1000,"F0:5E:CD:25:A3:2D",NA
NA,2412733,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-15,2,757,7,2025-04-15,1000,"F0:5E:CD:25:A2:4A",NA
NA,2412734,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-15,2,757,7,2025-04-15,1000,"F0:5E:CD:25:A2:65",NA
NA,2412735,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-15,2,757,7,2025-04-15,1000,"F0:5E:CD:25:9D:9F",NA
NA,2412736,1,"LOWELL","TDO-1",NA,"4.1.23",2025-04-15,2,757,7,2025-04-15,1000,"F0:5E:CD:25:A3:3C",NA
