GEAR_CODE,COMMON,ACCSP_GEAR_CODE,VTR_GEAR_CODE,VTR_GEAR_NAME,ACCSP_GEAR_NAME,NEGEAR,FMCODE,ISSCFG_CODE_EN,CODE,GEAR_L1_NAME_EN,GEAR_L1_CODE
000OTH,UNKNOWN,0,OTH,NOT CODED,NOT CODED,999,O,,,,
010SEH,HAUL SEINE,10,SEH,"SEINE, HAUL",HAUL SEINES,71,F,SURROUNDING NETS WITHOUT PURSE LINES,1.2,SURROUNDING NETS,1
020SEH,,20,SEH,,OTHER SEINES,70,O,SEINE NETS (NEI),2.9,SEINE NETS,2
021STS,,21,STS,"SEINE,STOP",STOP SEINE,240,O,,,,
022SEH,,22,SEH,,COMMON SEINE,70,O,,,,
023SEH,,23,SEH,,SWIPE NET,70,O,BEACH SEINES,2.1,SEINE NETS,2
030PUR,PURSE SEINE,30,PUR,PURSE SEINE,PURSE SEINE,120,O,PURSE SEINES,1.1,SURROUNDING NETS,1
031PUR,,31,PUR,,"PURSE SEINE, TARP",120,O,PURSE SEINES,1.1,SURROUNDING NETS,1
040OTH,,40,OTH,,LAMPARA/RING NETS,260,O,,,,
050OTH,,50,OTH,,POUND NETS,140,F,STATIONARY UNCOVERED POUND NETS,8.1,TRAPS,8
060FYK,FYKE NET,60,FYK,FYKE NET,FYKE NETS,320,F,FYKE NETS,8.3,TRAPS,8
070TRP,,70,TRP,,OTHER FIXED NETS,140,F,,,,
071WEI,WEIR,71,WEI,WEIR,WEIRS,260,F,"BARRIERS, FENCES, WEIRS, ETC.",8.5,TRAPS,8
072TRP,,72,TRP,,TRAP NETS,260,F,,,,
073TRP,TRAP,73,TRP,TRAP,FLOATING TRAPS (SHALLOW),80,F,TRAPS (NEI),8.9,TRAPS,8
074OTH,,74,OTH,,BAG NETS,290,O,BOAT-OPERATED LIFT NETS,5.2,LIFT NETS,5
075OTH,,75,OTH,,CHANNEL NETS,260,O,,,,
076OTH,,76,OTH,,STOP NET,390,O,,,,
080OTB,BEAM TRAWL,80,OTB,"OTTER TRAWL,BEAM",BEAM TRAWLS,350,M,BEAM TRAWLS,3.11,TRAWLS,3
081OTB,,81,OTB,,"BEAM TRAWLS, FISH",350,M,BEAM TRAWLS,3.11,TRAWLS,3
082OTB,,82,OTB,,"BEAM TRAWLS, OTHER - SHRIMP, CHOPSTICKS",351,M,BEAM TRAWLS,3.11,TRAWLS,3
090OTO,,90,OTO,,OTTER TRAWLS,50,M,SINGLE BOAT BOTTOM OTTER TRAWLS,3.12,TRAWLS,3
091OTO,,91,OTO,,"OTTER TRAWL BOTTOM, CRAB",51,M,BOTTOM TRAWLS (NEI),3.19,TRAWLS,
092OTF,BOTTOM TRAWL,92,OTF,"OTTER TRAWL,BOTTOM,FISH","OTTER TRAWL BOTTOM, FISH",50,M,BOTTOM TRAWLS (NEI),3.19,TRAWLS,3
093OTO,,93,OTO,,"OTTER TRAWL BOTTOM, LOBSTER",55,M,BOTTOM TRAWLS (NEI),3.19,TRAWLS,
094OTC,,94,OTC,"OTTER TRAWL,BOTTOM,SCALLOP","OTTER TRAWL BOTTOM, SCALLOP",52,M,BOTTOM TRAWLS (NEI),3.19,TRAWLS,
095OTS,,95,OTS,"OTTER TRAWL,BOTTOM,SHRIMP","OTTER TRAWL BOTTOM, SHRIMP",58,M,BOTTOM TRAWLS (NEI),3.19,TRAWLS,
096OTO,,96,OTO,"OTTER TRAWL,BOTTOM,OTHER","OTTER TRAWL BOTTOM,OTHER",59,M,BOTTOM TRAWLS (NEI),3.19,TRAWLS,
097OTM,MIDWATER TRAWL,97,OTM,"OTTER TRAWL,MIDWATER",OTTER TRAWL MIDWATER,370,M,SINGLE BOAT MIDWATER OTTER TRAWLS,3.21,TRAWLS,3
