REPORT_TYPE,LATITUDE,LONGITUDE
 SUMMARY_DATA ,42.04544,-67.82875
 SUMMARY_DATA ,42.0478,-67.82756
 SHORT_STATUS ,41.00612,6.98564
 SHORT_STATUS ,42.0022,6.9961
 SUMMARY_DATA ,41.97893,-68.15208
 SHORT_STATUS ,40.08122,-70.15183
 SHORT_STATUS ,41.3813,-71.51276
 SHORT_STATUS ,41.63918,-70.92018
 SUMMARY_DATA ,41.77403,-68.48483
 SHORT_STATUS ,41.77076,-70.50325
 SHORT_STATUS ,39.99718,-69.80416
 SHORT_STATUS ,41.6391,-70.92046
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,41.01288,6.99163
 SHORT_STATUS ,41.78419,-68.50001
 SUMMARY_DATA ,41.7937,-68.51799
 SUMMARY_DATA ,41.90579,-68.25372
 SHORT_STATUS ,41.01288,6.99163
 SHORT_STATUS ,42.00083,6.99698
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,41.79847,-68.38972
 SHORT_STATUS ,39.97838,-69.62344
 SHORT_STATUS ,41.38133,-71.51275
 SHORT_STATUS ,41.77064,-70.50321
 SHORT_STATUS ,41.6391,-70.92051
 SUMMARY_DATA ,41.77699,-68.4178
 SHORT_STATUS ,41.77081,-70.50325
 SHORT_STATUS ,41.78783,-68.44029
 SHORT_STATUS ,39.92842,-69.559
 SHORT_STATUS ,42.00083,6.99697
 SUMMARY_DATA ,41.77792,-68.4128
 SUMMARY_DATA ,41.5655,-68.72048
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,41.77096,-70.50363
 SHORT_STATUS ,41.36937,-71.29345
 SHORT_STATUS ,41.38135,-71.51276
 SHORT_STATUS ,41.63919,-70.9204
 SHORT_STATUS ,41.63915,-70.9202
 SHORT_STATUS ,41.77078,-70.50328
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,41.09935,-72.36086
 SHORT_STATUS ,41.01288,6.99163
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,41.01288,6.99163
 SHORT_STATUS ,41.38137,-71.51274
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,42.00083,6.99697
 SHORT_STATUS ,41.48946,-71.32266
 SHORT_STATUS ,41.77071,-70.50328
 SHORT_STATUS ,41.63919,-70.92014
 SUMMARY_DATA ,41.37737,-71.51296
 SHORT_STATUS ,41.4896,-71.3228
 SHORT_STATUS ,42.00032,6.99652
 SHORT_STATUS ,41.00629,6.97478
 SHORT_STATUS ,41.01288,6.99163
 SHORT_STATUS ,42.00453,6.99454
 SHORT_STATUS ,41.00473,6.97459
 SUMMARY_DATA ,41.03828,-71.44921
 SHORT_STATUS ,41.48949,-71.32265
 SHORT_STATUS ,41.63918,-70.92038
 SUMMARY_DATA ,41.19351,-71.61529
 SHORT_STATUS ,41.09934,-72.36084
 SHORT_STATUS ,41.48954,-71.3228
 SHORT_STATUS ,42.00285,6.9971
 SHORT_STATUS ,41.00614,6.97476
