ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2025-09-07T16:01:28.000Z,11.05,103.93,12.56,81.00
2025-09-07T16:16:28.000Z,9.49,86.81,11.35,99.00
2025-09-07T16:31:28.000Z,9.48,86.61,11.29,99.00
2025-09-07T16:46:28.000Z,9.48,86.59,11.29,99.00
2025-09-07T17:01:28.000Z,9.52,87.25,11.41,99.00
2025-09-07T17:16:28.000Z,9.64,88.72,11.62,99.00
2025-09-07T17:31:28.000Z,9.63,88.82,11.71,99.00
2025-09-07T17:46:28.000Z,9.58,88.28,11.68,99.00
2025-09-07T18:01:28.000Z,9.57,87.77,11.49,99.00
2025-09-07T18:16:28.000Z,9.56,87.86,11.55,99.00
2025-09-07T18:31:28.000Z,9.57,87.72,11.43,99.00
2025-09-07T18:46:28.000Z,9.58,87.78,11.43,99.00
2025-09-07T19:01:28.000Z,9.61,88.19,11.50,99.00
2025-09-07T19:16:28.000Z,9.59,88.29,11.65,99.00
2025-09-07T19:31:28.000Z,9.58,88.05,11.55,99.00
2025-09-07T19:46:28.000Z,9.56,87.67,11.44,99.00
2025-09-07T20:01:28.000Z,9.55,87.47,11.39,99.00
2025-09-07T20:16:28.000Z,9.56,87.53,11.37,99.00
2025-09-07T20:31:28.000Z,9.49,86.89,11.38,99.00
2025-09-07T20:46:28.000Z,9.59,87.98,11.48,99.00
2025-09-07T21:01:28.000Z,9.55,87.58,11.47,99.00
2025-09-07T21:16:28.000Z,9.57,87.81,11.49,99.00
2025-09-07T21:31:28.000Z,9.58,88.02,11.55,99.00
2025-09-07T21:46:28.000Z,9.61,88.40,11.59,99.00
2025-09-07T22:01:28.000Z,9.56,87.85,11.54,99.00
2025-09-07T22:16:28.000Z,9.53,87.31,11.43,99.00
2025-09-07T22:31:28.000Z,9.52,87.08,11.33,99.00
2025-09-07T22:46:28.000Z,9.57,87.68,11.43,99.00
2025-09-07T23:01:28.000Z,9.52,87.24,11.42,99.00
2025-09-07T23:16:28.000Z,9.52,86.80,11.20,99.00
2025-09-07T23:31:28.000Z,9.54,86.85,11.17,99.00
2025-09-07T23:46:28.000Z,9.52,86.70,11.14,99.00
2025-09-08T00:01:28.000Z,9.52,86.72,11.15,99.00
2025-09-08T00:16:28.000Z,9.52,86.73,11.16,99.00
2025-09-08T00:31:28.000Z,9.51,86.68,11.18,99.00
2025-09-08T00:46:28.000Z,9.52,86.85,11.23,99.00
2025-09-08T01:01:28.000Z,9.56,87.24,11.23,99.00
2025-09-08T01:16:28.000Z,9.58,87.43,11.25,99.00
2025-09-08T01:31:28.000Z,9.59,87.64,11.31,99.00
2025-09-08T01:46:28.000Z,9.56,87.28,11.27,99.00
2025-09-08T02:01:28.000Z,9.55,87.16,11.23,99.00
2025-09-08T02:16:28.000Z,9.59,87.57,11.27,99.00
2025-09-08T02:31:28.000Z,9.59,87.64,11.29,99.00
2025-09-08T02:46:28.000Z,9.62,88.02,11.35,99.00
2025-09-08T03:01:28.000Z,9.67,88.81,11.50,99.00
2025-09-08T03:16:28.000Z,9.56,87.60,11.42,99.00
2025-09-08T03:31:28.000Z,9.62,88.21,11.44,99.00
2025-09-08T03:46:28.000Z,9.63,88.31,11.44,99.00
2025-09-08T04:01:28.000Z,9.64,88.41,11.47,99.00
2025-09-08T04:16:28.000Z,9.62,88.22,11.46,99.00
2025-09-08T04:31:28.000Z,9.62,88.27,11.48,99.00
2025-09-08T04:46:28.000Z,9.62,88.29,11.49,99.00
2025-09-08T05:01:28.000Z,9.52,87.36,11.50,99.00
2025-09-08T05:16:28.000Z,9.64,88.49,11.48,99.00
2025-09-08T05:31:28.000Z,9.68,89.03,11.59,99.00
2025-09-08T05:46:28.000Z,9.74,89.58,11.59,99.00
2025-09-08T06:01:28.000Z,9.71,89.56,11.71,99.00
2025-09-08T06:16:28.000Z,9.72,89.80,11.79,99.00
2025-09-08T06:31:28.000Z,9.66,88.83,11.59,99.00
2025-09-08T06:46:28.000Z,9.67,89.07,11.64,99.00
2025-09-08T07:01:28.000Z,9.64,88.98,11.73,99.00
2025-09-08T07:16:28.000Z,9.59,87.90,11.43,99.00
2025-09-08T07:31:28.000Z,9.61,88.07,11.41,99.00
2025-09-08T07:46:28.000Z,9.64,88.42,11.46,99.00
2025-09-08T08:01:28.000Z,9.63,88.32,11.48,99.00
2025-09-08T08:16:28.000Z,9.64,88.42,11.47,99.00
2025-09-08T08:31:28.000Z,9.63,88.36,11.48,99.00
2025-09-08T08:46:28.000Z,9.61,88.25,11.50,99.00
2025-09-08T09:01:28.000Z,9.64,88.52,11.52,99.00
2025-09-08T09:16:28.000Z,9.63,88.45,11.52,99.00
2025-09-08T09:31:28.000Z,9.48,87.09,11.51,99.00
2025-09-08T09:46:28.000Z,9.62,88.30,11.51,99.00
2025-09-08T10:01:28.000Z,9.57,87.75,11.46,99.00
2025-09-08T10:16:28.000Z,9.61,88.11,11.43,99.00
2025-09-08T10:31:28.000Z,9.62,88.29,11.49,99.00
2025-09-08T10:46:28.000Z,9.42,86.46,11.48,99.00
2025-09-08T11:01:28.000Z,9.57,87.75,11.45,99.00
2025-09-08T11:16:28.000Z,9.61,88.02,11.41,99.00
2025-09-08T11:31:28.000Z,9.61,88.00,11.40,99.00
2025-09-08T11:46:28.000Z,9.60,87.81,11.33,99.00
2025-09-08T12:01:28.000Z,9.61,87.79,11.30,99.00
2025-09-08T12:16:28.000Z,9.49,86.65,11.28,99.00
2025-09-08T12:31:28.000Z,9.58,87.61,11.32,99.00
2025-09-08T12:46:28.000Z,9.45,86.39,11.34,99.00
2025-09-08T13:01:28.000Z,9.61,87.76,11.29,99.00
2025-09-08T13:16:28.000Z,9.46,86.40,11.27,99.00
2025-09-08T13:31:28.000Z,9.62,87.83,11.27,99.00
2025-09-08T13:46:28.000Z,9.63,87.98,11.29,99.00
2025-09-08T14:01:28.000Z,9.60,87.66,11.28,99.00
2025-09-08T14:16:28.000Z,9.62,87.88,11.27,99.00
2025-09-08T14:31:28.000Z,9.59,87.56,11.25,99.00
2025-09-08T14:46:28.000Z,9.60,87.45,11.18,99.00
2025-09-08T15:01:28.000Z,9.59,87.33,11.15,99.00
2025-09-08T15:16:28.000Z,9.61,87.44,11.14,99.00
2025-09-08T15:31:28.000Z,9.59,87.30,11.13,99.00
2025-09-08T15:46:28.000Z,9.57,87.09,11.14,99.00
2025-09-08T16:01:28.000Z,9.58,87.21,11.13,99.00
2025-09-08T16:16:28.000Z,9.58,87.19,11.13,99.00
2025-09-08T16:31:28.000Z,9.56,87.04,11.13,99.00
2025-09-08T16:46:28.000Z,9.58,87.25,11.14,99.00
