tow,date,avg_temp,latitude,longitude,NECOFS_spatial_index,NECOFS_temporal_index,forecast_temp,diff_temp
53626,2026-03-09,3.751479170833333,42.6153,-70.3996,60305,0,4.2036424,-0.45216319748331735
53626,2026-03-10,3.8605416916666666,42.6153,-70.39959999999999,60305,0,4.2036424,-0.3431006766499838
53627,2026-03-09,2.5147916749999997,44.2715,-68.1077,54386,0,3.0780413,-0.5632496400787357
53627,2026-03-10,2.4125896000000004,44.2715,-68.1077,54386,0,3.0780413,-0.6654517150787349
53628,2026-03-09,4.282340241666667,43.9058,-68.1246,44986,0,3.7181597,0.5641805660685222
53628,2026-03-10,4.751577841176471,43.9058,-68.1246,44986,0,3.7181597,1.0334181655783263
53629,2026-03-09,4.248680533333333,43.9075,-68.1221,44986,0,3.7181597,0.5305208577351888
53629,2026-03-10,4.643176476470589,43.9075,-68.1221,44986,0,3.7181597,0.9250168008724442
53630,2026-03-09,3.704638908333333,43.9485,-68.1404,45758,0,3.5486677,0.15597123903706844
53630,2026-03-10,3.8062333611111114,43.948499999999996,-68.1404,45758,0,3.5486677,0.2575656918148468
53631,2026-03-09,4.7259666125,43.7866,-68.1372,43470,0,4.231686,0.49428049723510714
53631,2026-03-10,4.71220415,43.7866,-68.1372,43470,0,4.231686,0.48051803473510724
53635,2026-03-09,1.8564,42.00545,-70.4818,89203,0,2.0052612,-0.14886118278503413
53637,2026-03-09,1.8483334,42.00505,-70.47735,89203,0,2.0052612,-0.15692778278503416
53638,2026-03-09,1.85875,42.0032,-70.49705,90863,0,2.0663524,-0.20760236740112314
53639,2026-03-09,1.8625,42.00015,-70.5166,92558,0,2.0769775,-0.21447749137878414
53641,2026-03-09,1.879,42.0027,-70.4974,90863,0,2.0663524,-0.18735236740112304
53643,2026-03-09,1.917125,41.9997,-70.5111,92558,0,2.0769775,-0.1598524913787842
53644,2026-03-09,3.2819652749999997,44.4587,-67.0558,49607,0,3.485969,-0.20400379161987336
53644,2026-03-10,3.2728182,44.45870000000001,-67.05579999999999,49607,0,3.485969,-0.21315086661987293
53646,2026-03-09,2.1129756875,42.2311,-70.6435,90839,0,2.8217392,-0.7087635092773437
53646,2026-03-10,2.136557406666667,42.231099999999984,-70.6435,90839,0,2.8217392,-0.6851817901106769
53648,2026-03-09,2.2328159625,42.2729,-70.6379,87567,0,2.8306944,-0.5978784745269774
53648,2026-03-10,2.2534036117647065,42.2729,-70.6379,87567,0,2.8306944,-0.577290825262271
53650,2026-03-09,4.297409754166666,43.73565,-68.5127,47211,0,3.435756,0.861653786072794
53650,2026-03-10,4.213499957142856,43.73565,-68.5127,47211,0,3.435756,0.7777439890489841
53651,2026-03-09,3.791763895833333,42.764100000000006,-70.365,57655,0,4.1198273,-0.32806337467447966
53651,2026-03-10,3.7223125,42.7641,-70.365,57655,0,4.1198273,-0.39751477050781236
53652,2026-03-09,5.290565970833334,41.295,-69.0042,34719,0,8.482536,-3.191970345084635
53652,2026-03-10,5.301451466666666,41.295,-69.0042,34719,0,8.482536,-3.1810848492513024
53652,2026-03-11,5.312457470833333,41.295,-69.0042,34719,24,8.51059,-3.1981321287760416
53654,2026-03-09,5.3073194125,41.315,-69.0219,34720,0,8.488184,-3.1808645627197265
53654,2026-03-10,5.32796665,41.31500000000001,-69.02189999999999,34720,0,8.488184,-3.160217325219727
53659,2026-03-09,5.286225725,41.29085,-69.0345,33985,0,8.430784,-3.1445585004638668
53659,2026-03-10,5.300340991666666,41.29085,-69.0345,33985,0,8.430784,-3.130443233797201
53663,2026-03-10,1.9033333,42.00675,-70.48215,89203,0,2.0052612,-0.10192788278503429
53664,2026-03-10,1.9224,42.004,-70.49745,90863,0,2.0663524,-0.14395236740112294
53667,2026-03-10,1.8916,42.00505,-70.4966,90863,0,2.0663524,-0.1747523674011231
53670,2026-03-10,1.8916667,42.00395,-70.48095,89203,0,2.0052612,-0.11359448278503415
53671,2026-03-10,1.875,42.00245,-70.48355,89203,0,2.0052612,-0.13026118278503418
53674,2026-03-09,8.95097225,41.0907,-66.4024,7286,0,7.4707866,1.480185678497314
53674,2026-03-10,9.0370241875,41.0907,-66.4024,7286,0,7.4707866,1.5662376159973146
53674,2026-03-11,8.731517354166668,41.0907,-66.4024,7286,24,7.2943177,1.437199631846111
53674,2026-03-12,8.854249928571429,41.090699999999984,-66.40239999999997,7286,48,7.3991685,1.4550814372079035
