tow_id,segment_type,latitude (degrees_north),longitude (degrees_east),depth (m),temperature (degree_C)
55167,2,40.4263,-68.1185,284.733,9.812
55167,2,40.4263,-68.1185,284.479,9.819
55167,2,40.4263,-68.1185,283.719,9.819
55167,2,40.4263,-68.1185,283.444,9.817
55167,2,40.4263,-68.1185,281.79,9.821
55167,2,40.4263,-68.1185,281.487,9.821
55167,2,40.4263,-68.1185,280.04,9.835
55167,2,40.4263,-68.1185,279.609,9.883
55167,2,40.4263,-68.1185,277.94,10.039
55167,2,40.4263,-68.1185,277.478,10.053
55167,2,40.4263,-68.1185,275.658,10.126
55167,2,40.4263,-68.1185,275.262,10.131
55167,2,40.4263,-68.1185,273.401,10.234
55167,2,40.4263,-68.1185,272.923,10.24
55167,2,40.4263,-68.1185,271.818,10.216
55167,2,40.4263,-68.1185,271.746,10.222
55167,2,40.4263,-68.1185,270.783,10.245
55167,2,40.4263,-68.1185,270.285,10.254
55167,2,40.4263,-68.1185,269.779,10.261
55167,2,40.4263,-68.1185,269.246,10.265
55167,2,40.4263,-68.1185,268.759,10.258
55167,2,40.4263,-68.1185,266.957,10.267
55167,2,40.4263,-68.1185,266.419,10.292
55167,2,40.4263,-68.1185,265.964,10.308
55167,2,40.4263,-68.1185,263.504,10.293
55167,2,40.4263,-68.1185,262.94,10.305
55167,2,40.4263,-68.1185,262.518,10.318
55167,2,40.4263,-68.1185,260.434,10.35
55167,2,40.4263,-68.1185,259.663,10.362
55167,2,40.4263,-68.1185,258.948,10.367
55167,2,40.4263,-68.1185,258.284,10.369
55167,2,40.4263,-68.1185,257.669,10.371
55167,2,40.4263,-68.1185,257.182,10.374
55167,2,40.4263,-68.1185,254.848,10.379
55167,2,40.4263,-68.1185,254.266,10.379
55167,2,40.4263,-68.1185,253.829,10.38
55167,2,40.4263,-68.1185,252.734,10.392
55167,2,40.4263,-68.1185,252.247,10.396
55167,2,40.4263,-68.1185,249.589,10.411
55167,2,40.4263,-68.1185,248.848,10.42
55167,2,40.4263,-68.1185,248.167,10.427
55167,2,40.4263,-68.1185,247.482,10.435
55167,2,40.4263,-68.1185,246.809,10.444
55167,2,40.4263,-68.1185,246.133,10.457
55167,2,40.4263,-68.1185,245.352,10.471
55167,2,40.4263,-68.1185,244.607,10.476
55167,2,40.4263,-68.1185,243.82,10.487
55167,2,40.4263,-68.1185,243.085,10.505
55167,2,40.4263,-68.1185,242.404,10.514
55167,2,40.4263,-68.1185,241.715,10.518
55167,2,40.4263,-68.1185,240.969,10.52
55167,2,40.4263,-68.1185,240.148,10.526
55167,2,40.4263,-68.1185,239.311,10.529
55167,2,40.4263,-68.1185,238.525,10.532
55167,2,40.4263,-68.1185,237.717,10.532
55167,2,40.4263,-68.1185,236.85,10.532
55167,2,40.4263,-68.1185,236.029,10.533
55167,2,40.4263,-68.1185,235.43,10.533
55167,2,40.4263,-68.1185,234.837,10.533
55167,2,40.4263,-68.1185,234.04,10.536
55167,2,40.4263,-68.1185,233.111,10.54
55167,2,40.4263,-68.1185,232.167,10.542
55167,2,40.4263,-68.1185,231.189,10.541
55167,2,40.4263,-68.1185,230.245,10.541
55167,2,40.4263,-68.1185,229.561,10.541
55167,2,40.4263,-68.1185,229.215,10.54
55167,2,40.4263,-68.1185,227.82,10.562
55167,2,40.4263,-68.1185,227.232,10.564
55167,2,40.4263,-68.1185,226.745,10.566
55167,2,40.4263,-68.1185,223.518,10.666
55167,2,40.4263,-68.1185,222.52,10.672
55167,2,40.4263,-68.1185,221.546,10.675
55167,2,40.4263,-68.1185,220.667,10.676
55167,2,40.4263,-68.1185,219.891,10.68
55167,2,40.4263,-68.1185,219.044,10.692
55167,2,40.4263,-68.1185,218.171,10.708
55167,2,40.4263,-68.1185,217.229,10.751
55167,2,40.4263,-68.1185,216.32,10.784
55167,2,40.4263,-68.1185,215.484,10.804
55167,2,40.4263,-68.1185,214.895,10.811
55167,2,40.4263,-68.1185,213.967,10.82
55167,2,40.4263,-68.1185,212.932,10.826
55167,2,40.4263,-68.1185,211.917,10.838
55167,2,40.4263,-68.1185,211.008,10.859
55167,2,40.4263,-68.1185,210.156,10.873
55167,2,40.4263,-68.1185,209.268,10.891
55167,2,40.4263,-68.1185,208.568,10.903
55167,2,40.4263,-68.1185,207.874,10.908
55167,2,40.4263,-68.1185,206.904,10.916
