tow_id,segment_type,time (UTC),latitude (degrees_north),longitude (degrees_east),depth (m),temperature (degree_C),sensor_type,model,data_provider
55316,3,2026-04-13T00:00:00Z,40.48062,-73.1756,30.466667,5.5834446,ZEBRAT,TD-20,eMOLT
55317,3,2026-04-13T01:00:00Z,40.507168,-73.084,28.315384,5.8114614,ZEBRAT,TD-20,eMOLT
55318,3,2026-04-13T03:00:00Z,40.517,-72.992,30.533333,5.46,ZEBRAT,TD-20,eMOLT
55319,3,2026-04-13T04:00:00Z,40.514286,-72.9911,30.714285,5.7627144,ZEBRAT,TD-20,eMOLT
55320,3,2026-04-13T05:00:00Z,40.515957,-72.9642,31.216667,5.523,ZEBRAT,TD-20,eMOLT
55320,3,2026-04-13T06:00:00Z,40.5189,-72.9642,33.1,5.505,ZEBRAT,TD-20,eMOLT
55321,3,2026-04-13T07:00:00Z,40.510773,-72.9594,32.714287,5.5192857,ZEBRAT,TD-20,eMOLT
55322,3,2026-04-13T08:00:00Z,40.516193,-72.9553,32.416668,5.486417,ZEBRAT,TD-20,eMOLT
55323,3,2026-04-13T10:00:00Z,40.51886,-72.9541,30.52,5.672,ZEBRAT,TD-20,eMOLT
55324,3,2026-04-13T11:00:00Z,40.519535,-72.948,31.918182,5.4964547,ZEBRAT,TD-20,eMOLT
55325,3,2026-04-13T13:00:00Z,40.517944,-72.9462,29.885714,5.5967145,ZEBRAT,TD-20,eMOLT
55326,3,2026-04-13T14:00:00Z,40.522385,-72.9416,31.183332,5.5095835,ZEBRAT,TD-20,eMOLT
55326,3,2026-04-13T15:00:00Z,40.524,-72.9416,33.7,5.556,ZEBRAT,TD-20,eMOLT
55327,3,2026-04-13T16:00:00Z,40.51872,-72.9407,29.84,5.5458,ZEBRAT,TD-20,eMOLT
55328,3,2026-04-13T17:00:00Z,40.51666,-72.9477,30.508333,5.5810833,ZEBRAT,TD-20,eMOLT
55328,3,2026-04-13T18:00:00Z,40.520817,-72.9477,33.1,5.5338335,ZEBRAT,TD-20,eMOLT
55329,3,2026-04-13T19:00:00Z,40.554256,-72.8981,32.885715,5.542286,ZEBRAT,TD-20,eMOLT
55330,3,2026-04-13T20:00:00Z,40.6032,-72.8527,33.8,5.490077,ZEBRAT,TD-20,eMOLT
55333,3,2026-04-13T00:00:00Z,43.73625,-68.51405,145.92416,3.6655834,LOWELL,TDO-1,eMOLT
55334,3,2026-04-13T00:00:00Z,44.2716,-68.1079,68.29567,3.103,LOWELL,TDO-1,eMOLT
55333,3,2026-04-13T01:00:00Z,43.73625,-68.51405,145.66241,3.6729167,LOWELL,TDO-1,eMOLT
