"tow","date","avg_temp","latitude","longitude","f_temp","f_lat","f_lon","diff_temp_F","scalecolor"
56007,"2026-04-25",3.8081667,42.8573,-70.5745,3.47760304166061,42.863,-70.591,-0.595014585010908,"#E9DBD7FF"
56008,"2026-04-25",4.287,42.9143,-70.7088,4.27007672974778,42.875,-70.711,-0.0304618864539989,"#F1ECEBFF"
56009,"2026-04-25",4.513,43.8425,-68.2678,5.23309291822273,43.817,-68.243,1.2961672528009,"#C3CFD4FF"
56019,"2026-04-25",5.0812726,40.71062,-71.4757,5.61247211088252,40.711,-71.457,0.956159119588541,"#CFD6D9FF"
56021,"2026-04-25",5.481421,40.63434,-71.3156,6.4057553669403,40.65,-71.29,1.66380186049254,"#B5C8CEFF"
56023,"2026-04-25",5.173706,40.691116,-71.4809,5.61247211088252,40.711,-71.457,0.789778999588542,"#D5DADDFF"
56025,"2026-04-25",4.6953335,40.803642,-71.4471,5.22249945116201,40.799,-71.442,0.948898712091612,"#D3D9DCFF"
56030,"2026-04-25",4.2798333,42.9144,-70.7087,4.27007672974778,42.875,-70.711,-0.0175618264539992,"#F1ECEBFF"
56041,"2026-04-26",4.3651667,41.2716,-71.3649,4.65833822377369,41.24,-71.366,0.52770874279264,"#E1E1E3FF"
56046,"2026-04-25",4.570833,43.8439,-68.2223,5.23309291822273,43.817,-68.243,1.1920678528009,"#C7D2D7FF"
56047,"2026-04-25",4.986833,43.9044,-68.0658,5.24515702640012,43.891,-68.103,0.464983247520216,"#E1E1E3FF"
56049,"2026-04-26",4.7735,43.2229,-69.3299,4.95073769960986,43.227,-69.357,0.319027859297741,"#E8E6E6FF"
56050,"2026-04-26",3.974,43.0948,-70.1178,3.88222187769736,43.127,-70.113,-0.165200620144745,"#EEE7E5FF"
56051,"2026-04-26",5.0616665,43.8204,-68.0352,5.22345945781522,43.84,-68.052,0.291227324067393,"#E8E6E6FF"
56054,"2026-04-25",5.6886,43.7857,-68.1382,5.32710747029402,43.803,-68.122,-0.650686553470763,"#E8D8D3FF"
56057,"2026-04-25",7.933417,42.5097,-67.4743,7.02325586325812,42.519,-67.494,-1.63829004613538,"#DFBDB2FF"
56059,"2026-04-26",4.807833,43.2233,-69.3302,4.95073769960986,43.227,-69.357,0.257228459297743,"#E8E6E6FF"
56060,"2026-04-27",4.958667,43.8204,-68.0353,5.27108536485914,43.84,-68.052,0.562353056746453,"#DDDFE0FF"
56067,"2026-04-28",5.3144665,41.02551,-71.5377,5.34189241221136,41.036,-71.58,0.0493666419804413,"#F1ECEBFF"
56068,"2026-04-26",3.9788334,42.8734,-70.5988,3.3831822350182,42.863,-70.591,-1.07217209696724,"#E4CCC5FF"
56121,"2026-04-25",4.103,42.6042,-70.4964,3.9251746385998,42.588,-70.521,-0.320085650520355,"#EDE4E2FF"
56088,"2026-04-25",5.262111,40.217667,-73.3355,5.95963578137418,40.209,-73.361,1.25554460647352,"#C3CFD4FF"
56089,"2026-04-25",5.2725835,40.21765,-73.3334,5.95963578137418,40.209,-73.361,1.23669410647352,"#C7D2D7FF"
56092,"2026-04-25",5.3334284,40.216328,-73.3366,5.95963578137418,40.209,-73.361,1.12717328647352,"#CBD4D8FF"
56093,"2026-04-25",5.2436666,40.219833,-73.245,6.06941029549688,40.199,-73.245,1.48633865189439,"#BDCCD2FF"
56094,"2026-04-25",5.7054,40.30482,-73.1724,6.63807299135885,40.327,-73.168,1.67881138444593,"#B5C8CEFF"
56095,"2026-04-25",5.5600834,40.361126,-73.115,6.80588510307337,40.366,-73.103,2.24244306553206,"#A2BEC8FF"
56096,"2026-04-25",5.4726667,40.42082,-72.9852,6.9672401494714,40.445,-72.974,2.69023220904852,"#8EB5C3FF"
56097,"2026-04-25",5.510083,40.46137,-72.9737,6.9672401494714,40.445,-72.974,2.62288286904852,"#92B7C3FF"
56098,"2026-04-25",5.481917,40.51675,-72.949,7.27499813641054,40.533,-72.961,3.22754604553897,"#7AABBEFF"
56099,"2026-04-25",5.6306667,40.51332,-72.9482,7.27499813641054,40.533,-72.961,2.95979658553897,"#82AFC0FF"
56100,"2026-04-26",5.3194284,40.228916,-73.1719,6.42394182016244,40.239,-73.181,1.98812415629239,"#AAC2CBFF"
56101,"2026-04-26",5.2975454,40.218693,-73.2599,6.25113923594811,40.199,-73.245,1.7164689047066,"#B5C8CEFF"
56102,"2026-04-26",5.3056364,40.218082,-73.2621,6.25113923594811,40.199,-73.245,1.7019051047066,"#B5C8CEFF"
56103,"2026-04-26",5.3286667,40.217632,-73.2407,6.25113923594811,40.199,-73.245,1.66045056470659,"#B5C8CEFF"
56122,"2026-04-26",4.1476665,41.9934,-70.4859,4.26779819111949,42,-70.451,0.216237044015088,"#EAE8E8FF"
56123,"2026-04-26",4.2191668,41.99615,-70.50275,5.02511851038079,41.962,-70.518,1.45071307868542,"#BDCCD2FF"
56146,"2026-04-26",6.38,42.93275,-68.2689,7.22311163176124,42.931,-68.317,1.51760093717024,"#BDCCD2FF"
56128,"2026-04-26",4.262,42.00335,-70.51385,5.02511851038079,41.962,-70.518,1.37361331868542,"#C0CED3FF"
