Probe Type,Lowell
Serial Number,75:03
Vessel Number,999999
Vessel Name,DUMMYDATA
Date Format,YYYY-MM-DD
Time Format,HH24:MI:SS
Temperature,C
Depth,m
HEADING,datet(GMT),lat,lon,Temperature (C),Depth (m)
DATA,2021-10-08 10:25:00,3907.1170,07308.0229,19.48,0.78
DATA,2021-10-08 10:26:00,3907.1170,07308.0229,19.44,0.79
DATA,2021-10-08 10:27:00,3907.1170,07308.0229,19.43,0.77
DATA,2021-10-08 10:28:00,3907.1170,07308.0229,19.42,0.81
DATA,2021-10-08 10:29:00,3907.1170,07308.0229,19.42,0.8
DATA,2021-10-08 10:30:00,3907.1170,07308.0229,19.42,0.79
DATA,2021-10-08 10:31:00,3907.1170,07308.0229,19.43,0.8
DATA,2021-10-08 10:32:00,3907.1170,07308.0229,19.43,0.75
DATA,2021-10-08 10:33:00,3907.1170,07308.0229,19.44,0.79
DATA,2021-10-08 10:34:00,3907.1170,07308.0229,19.44,0.79
DATA,2021-10-08 10:35:00,3907.1170,07308.0229,19.45,0.76
DATA,2021-10-08 10:36:00,3907.1170,07308.0229,19.6,7.02
DATA,2021-10-08 10:37:00,3907.1170,07308.0229,19.89,17.74
DATA,2021-10-08 10:38:00,3907.1170,07308.0229,20.2,22.19
DATA,2021-10-08 10:39:00,3907.1170,07308.0229,20.4,36.48
DATA,2021-10-08 10:40:00,3907.1170,07308.0229,19.94,52.76
DATA,2021-10-08 10:41:00,3907.1170,07308.0229,18.88,59.11
DATA,2021-10-08 10:42:00,3907.1170,07308.0229,17.73,68.87
DATA,2021-10-08 10:43:00,3907.1170,07308.0229,16.7,68.28
DATA,2021-10-08 10:44:00,3907.1170,07308.0229,15.86,67.55
DATA,2021-10-08 10:45:00,3907.1170,07308.0229,15.2,67.51
DATA,2021-10-08 10:46:00,3907.1170,07308.0229,14.7,67.73
DATA,2021-10-08 10:47:00,3907.1170,07308.0229,14.32,67.93
DATA,2021-10-08 10:48:00,3907.1170,07308.0229,14.04,68.02
DATA,2021-10-08 10:49:00,3907.1170,07308.0229,13.82,67.91
DATA,2021-10-08 10:50:00,3907.1170,07308.0229,13.67,67.87
DATA,2021-10-08 10:51:00,3907.1170,07308.0229,13.55,67.94
DATA,2021-10-08 10:52:00,3907.1170,07308.0229,13.46,68.06
DATA,2021-10-08 10:53:00,3907.1170,07308.0229,13.39,67.65
DATA,2021-10-08 10:54:00,3907.1170,07308.0229,13.35,67.84
DATA,2021-10-08 10:55:00,3907.1170,07308.0229,13.33,68.58
DATA,2021-10-08 10:56:00,3907.1170,07308.0229,13.32,69.0
DATA,2021-10-08 10:57:00,3907.1170,07308.0229,13.31,68.93
DATA,2021-10-08 10:58:00,3907.1170,07308.0229,13.31,69.13
DATA,2021-10-08 10:59:00,3907.1170,07308.0229,13.3,68.89
DATA,2021-10-08 11:00:00,3907.1170,07308.0229,13.3,68.64
DATA,2021-10-08 11:01:00,3907.1170,07308.0229,13.3,68.31
DATA,2021-10-08 11:02:00,3907.4953,07308.1660,13.3,68.4
DATA,2021-10-08 11:03:00,3907.4953,07308.1660,13.3,68.18
DATA,2021-10-08 11:04:00,3907.4953,07308.1660,13.3,67.88
DATA,2021-10-08 11:05:00,3907.4953,07308.1660,13.3,68.05
DATA,2021-10-08 11:06:00,3907.6329,07308.2178,13.3,67.42
DATA,2021-10-08 11:07:00,3907.6329,07308.2178,13.31,66.68
DATA,2021-10-08 11:08:00,3907.6329,07308.2178,13.31,66.39
DATA,2021-10-08 11:09:00,3907.7782,07308.2751,13.32,66.24
DATA,2021-10-08 11:10:00,3907.7782,07308.2751,13.33,66.36
DATA,2021-10-08 11:11:00,3907.9207,07308.3328,13.34,66.09
DATA,2021-10-08 11:12:00,3907.9207,07308.3328,13.35,65.96
DATA,2021-10-08 11:13:00,3907.9207,07308.3328,13.36,65.48
DATA,2021-10-08 11:14:00,3908.0684,07308.3450,13.37,65.53
DATA,2021-10-08 11:15:00,3908.0684,07308.3450,13.38,65.34
DATA,2021-10-08 11:16:00,3908.2147,07308.3227,13.38,65.51
DATA,2021-10-08 11:17:00,3908.2147,07308.3227,13.39,65.46
DATA,2021-10-08 11:18:00,3908.2147,07308.3227,13.4,65.59
DATA,2021-10-08 11:19:00,3908.3557,07308.2778,13.41,65.45
DATA,2021-10-08 11:20:00,3908.3557,07308.2778,13.41,65.14
DATA,2021-10-08 11:21:00,3908.4929,07308.2269,13.42,65.06
DATA,2021-10-08 11:22:00,3908.4929,07308.2269,13.43,64.87
DATA,2021-10-08 11:23:00,3908.4929,07308.2269,13.43,64.72
DATA,2021-10-08 11:24:00,3908.6309,07308.1681,13.44,64.66
DATA,2021-10-08 11:25:00,3908.6309,07308.1681,13.44,64.58
DATA,2021-10-08 11:26:00,3908.7727,07308.1178,13.45,64.69
DATA,2021-10-08 11:27:00,3908.7727,07308.1178,13.45,65.99
DATA,2021-10-08 11:28:00,3908.7727,07308.1178,13.45,66.23
DATA,2021-10-08 11:29:00,3908.9126,07308.0711,13.46,66.14
DATA,2021-10-08 11:30:00,3908.9126,07308.0711,13.46,66.22
DATA,2021-10-08 11:31:00,3908.9126,07308.0711,13.46,65.92
DATA,2021-10-08 11:32:00,3909.0532,07308.0219,13.47,65.85
DATA,2021-10-08 11:33:00,3909.0532,07308.0219,13.47,65.81
DATA,2021-10-08 11:34:00,3909.1944,07307.9776,13.47,65.62
DATA,2021-10-08 11:35:00,3909.1944,07307.9776,13.48,65.43
DATA,2021-10-08 11:36:00,3909.1944,07307.9776,13.48,65.53
DATA,2021-10-08 11:37:00,3909.3374,07307.9361,13.48,65.41
DATA,2021-10-08 11:38:00,3909.3374,07307.9361,13.49,65.43
DATA,2021-10-08 11:39:00,3909.4839,07307.8965,13.49,65.31
DATA,2021-10-08 11:40:00,3909.4839,07307.8965,13.49,65.09
DATA,2021-10-08 11:41:00,3909.4839,07307.8965,13.49,65.25
DATA,2021-10-08 11:42:00,3909.6303,07307.8555,13.49,66.45
DATA,2021-10-08 11:43:00,3909.6303,07307.8555,13.49,66.67
DATA,2021-10-08 11:44:00,3909.7746,07307.8145,13.49,67.16
DATA,2021-10-08 11:45:00,3909.7746,07307.8145,13.5,67.2
DATA,2021-10-08 11:46:00,3909.7746,07307.8145,13.5,66.96
DATA,2021-10-08 11:47:00,3909.9207,07307.7735,13.51,66.79
DATA,2021-10-08 11:48:00,3909.9207,07307.7735,13.52,66.67
DATA,2021-10-08 11:49:00,3910.0556,07307.7013,13.53,66.61
DATA,2021-10-08 11:50:00,3910.0556,07307.7013,13.57,67.2
DATA,2021-10-08 11:51:00,3910.0556,07307.7013,13.61,67.42
DATA,2021-10-08 11:52:00,3910.1847,07307.6120,13.65,67.5
DATA,2021-10-08 11:53:00,3910.1847,07307.6120,13.69,67.48
DATA,2021-10-08 11:54:00,3910.1847,07307.6120,13.71,67.41
DATA,2021-10-08 11:55:00,3910.3121,07307.5195,13.73,67.62
DATA,2021-10-08 11:56:00,3910.3121,07307.5195,13.75,67.53
DATA,2021-10-08 11:57:00,3910.4370,07307.4251,13.76,67.54
DATA,2021-10-08 11:58:00,3910.4370,07307.4251,13.77,67.6
DATA,2021-10-08 11:59:00,3910.4370,07307.4251,13.78,67.87
DATA,2021-10-08 12:00:00,3910.5599,07307.3303,13.79,68.28
DATA,2021-10-08 12:01:00,3910.5599,07307.3303,13.8,68.35
DATA,2021-10-08 12:02:00,3910.6713,07307.2048,13.81,68.54
DATA,2021-10-08 12:03:00,3910.6713,07307.2048,13.82,68.55
DATA,2021-10-08 12:04:00,3910.6713,07307.2048,13.83,68.57
DATA,2021-10-08 12:05:00,3910.7643,07307.0655,13.83,68.63
DATA,2021-10-08 12:06:00,3910.7643,07307.0655,13.84,68.79
DATA,2021-10-08 12:07:00,3910.8574,07306.9240,13.85,68.85
