MAC_ADDRESS,SERIAL_NUMBER
,0
E5:FC:4E:94:ED:DD,0304
,1
,10
60:77:71:22:CA:6A,1000000
,101
,10435995
D8:92:46:F8:64:98,1062
,10864089
,10864091
,10864092
,10864093
,10864094
,10864095
,10864096
,10864097
,10864098
,10864099
,10864100
,10864102
,10864104
,10864105
,11
60:77:71:22:C8:44,1111111
EB:F2:42:6B:28:D6,112
C1:07:7B:6E:C6:16,113
,113
CF:D4:F1:9D:8D:A8,114
C3:DF:8F:9B:86:54,115
,117
,118
,12
,120
C7:65:2F:AC:83:7C,1200
F6:07:7C:57:3D:76,1201
DE:C7:6A:56:62:B0,1202
E7:9C:7E:F2:FE:6B,124
,126
,127
,128
,129
,13
,130
D9:3D:BD:F2:55:26,132
E4:32:C6:DC:7C:81,133
,1334
C6:6E:F6:CB:38:8F,134
D1:96:AA:FA:9B:D0,135
F8:E0:6A:11:DB:A5,136
D8:BF:06:88:C7:B4,139
,14
D6:EB:6B:13:FA:96,140
C9:08:0F:5F:13:27,142
CB:1D:25:61:0A:5D,143
,1447
,1449
ED:E8:8C:F6:86:C6,145
,1450
,1452
C7:B1:EB:5D:40:4F,146
,1460
,1462
,1465
,1467
FB:44:74:7F:AD:C3,147
,1471
,1479
E6:C1:E8:5B:EB:DF,148
,1483
,1485
E8:D4:96:83:E0:A2,149
,1497
,1499
CC:CC:30:47:89:31,150
,1500
,1502
,1503
,1505
,1508
,1513
,1514
C4:0B:63:0C:63:76,154
C9:7E:E3:6F:63:67,157
F9:7B:53:C7:A1:1D,158
,16
,1655
,1656
,1658
,1660
,1661
,1673
,168
,169
,17
,1724
E1:4F:69:75:C2:E3,186
DE:4B:70:7D:BD:E9,188
C3:D3:0E:63:1C:C0,190
DE:11:46:09:F5:99,191
C8:69:1A:9E:74:54,196
E7:45:FB:10:7D:E9,197
04:ee:03:73:87:65,2002042
04:ee:03:73:87:47,2002043
04:ee:03:73:87:36,2002044
04:ee:03:73:87:dd,2002045
04:ee:03:73:87:8d,2002046
04:ee:03:73:86:51,2002047
04:ee:03:73:87:24,2002048
04:ee:03:73:87:ba,2002049
04:ee:03:73:87:45,2002050
60:77:71:22:c8:2f,2006651
60:77:71:22:c8:07,2006654
60:77:71:22:c8:17,2006655
60:77:71:22:ca:7f,2006657
60:77:71:22:c8:02,2006658
60:77:71:22:c7:40,2006662
60:77:71:22:c8:55,2006663
60:77:71:22:c8:74,2006664
60:77:71:22:c5:ec,2006670
58:93:d8:a4:b6:15,2006672
60:77:71:22:c8:08,2006673
60:77:71:22:ca:53,2006674
60:77:71:22:c9:c9,2006676
60:77:71:22:c9:c1,2006677
60:77:71:22:c7:36,2006678
60:77:71:22:cb:42,2006679
04:ee:03:e2:50:91,2006680
58:93:d8:a4:b5:e3,2006684
04:ee:03:71:14:43,2006685
58:93:D8:A4:B6:86,2006692
60:77:71:22:C8:7D,2006693
,20135852
,20135857
,20135858
,20135860
,20135861
E2:99:EC:1F:7F:7B,203
,206
,208
,216
,22
60:77:71:22:C9:CD,2205600
58:93:D8:A4:B6:26,2205601
58:93:D8:A4:B6:66,2205602
60:77:71:22:CA:45,2205603
60:77:71:22:C9:EE,2205604
60:77:71:22:C7:59,2205605
58:93:D8:A4:B6:CE,2205606
58:93:D8:A4:B6:35,2205607
58:93:D8:A4:B6:65,2205608
60:77:71:22:CA:3A,2205609
60:77:71:22:CA:21,2205610
58:93:D8:A4:B6:F2,2205611
60:77:71:22:CB:69,2205613
60:77:71:22:CA:17,2205614
60:77:71:22:CA:65,2205615
60:77:71:22:c7:32,2205616
60:77:71:22:c5:AF,2205617
60:77:71:22:C9:AF,2211702
,2247
,23
60:77:71:22:C5:FE,2304782
D0:2E:AB:D9:32:7B,2305705
D0:2E:AB:D9:2F:8B,2305706
D0:2E:AB:D9:26:F9,2305707
D0:2E:AB:D9:32:72,2305708
D0:2E:AB:D9:2D:1A,2305709
D0:2E:AB:D9:32:6A,2305710
D0:2E:AB:D8:C4:FC,2305711
D0:2E:AB:D9:2E:E0,2305712
D0:2E:AB:D9:29:2B,2305713
D0:2E:AB:D8:BC:79,2305714
D0:2E:AB:D9:30:73,2305715
D0:2E:AB:D9:1A:29,2305716
D0:2E:AB:D6:DE:7D,2305717
D0:2E:AB:D9:27:07,2305718
D0:2E:AB:D8:BE:E7,2305719
D0:2E:AB:D9:2A:10,2305720
D0:2E:AB:D9:32:77,2305721
D0:2E:AB:D8:DD:80,2305722
D0:2E:AB:D9:23:8E,2305723
D0:2E:AB:D9:26:96,2305724
D0:2E:AB:D9:2D:24,2305725
D0:2E:AB:D9:32:B8,2305726
D0:2E:AB:D9:24:81,2305728
D0:2E:AB:D9:1C:00,2311731
D0:2E:AB:D9:32:6D,2311733
D0:2E:AB:D9:E7:B3,2311735
F0:5E:CD:25:A2:30,2402774
F0:5E:CD:25:92:A0,2405503
F0:5E:CD:25:9E:26,2405504
D0:2E:AB:D9:30:69,2405752
D0:2E:AB:D9:2E:BA,2405753
D0:2E:AB:DA:A8:49,2405754
D0:2E:AB:D6:DE:44,2405755
D0:2E:AB:D9:BB:55,2405756
D0:2E:AB:D9:2D:0D,2405757
D0:2E:AB:D9:2B:7E,2405758
D0:2E:AB:D8:C7:4C,2405759
D0:2E:AB:D6:DE:B7,2405760
D0:2E:AB:D9:E7:83,2405761
D0:2E:AB:D9:32:58,2405762
D0:2E:AB:D8:BB:D0,2405763
D0:2E:AB:D8:AB:3E,2405764
D0:2E:AB:D9:25:8E,2405765
D0:2E:AB:D9:29:1F,2405766
D0:2E:AB:D9:BB:56,2405767
D0:2E:AB:D9:32:28,2405768
"F0:5E:CD:25:9E:06 ",2406601
"F0:5E:CD:25:9E:0F ",2406602
"F0:5E:CD:25:9E:44 ",2406603
F0:5E:CD:25:92:B1,2406604
"F0:5E:CD:25:9D:A7 ",2406605
F0:5E:CD:25:9E:4F,2406606
"F0:5E:CD:25:A4:0C ",2406607
"F0:5E:CD:25:9C:9E ",2406608
"F0:5E:CD:25:92:94 ",2406609
"F0:5E:CD:25:92:E6 ",2406610
"F0:5E:CD:25:9E:4B ",2406611
"F0:5E:CD:25:92:AF ",2406612
"F0:5E:CD:25:9D:9D ",2406613
"F0:5E:CD:25:9E:17 ",2406614
"F0:5E:CD:25:9E:08 ",2406615
F0:5E:CD:25:92:9E,2406616
"F0:5E:CD:25:A2:1D ",2406617
"F0:5E:CD:25:A3:66 ",2406618
F0:5E:CD:25:9E:0A,2406702
F0:5E:CD:25:9E:55,2406703
F0:5E:CD:25:9E:3F,2406704
F0:5E:CD:25:9C:A0,2406705
F0:5E:CD:25:9D:93,2406706
F0:5E:CD:25:9E:67,2407707
F0:5E:CD:25:9C:9B,2407708
F0:5E:CD:25:9E:3C,2407709
F0:5E:CD:25:9E:2A,2407711
F0:5E:CD:25:9E:71,2409712
F0:5E:CD:25:9E:13,2409713
F0:5E:CD:25:94:25,2409715
F0:5E:CD:25:9E:47,2409716
F0:5E:CD:25:9E:54,2409717
F0:5E:CD:25:9E:32,2409718
F0:5E:CD:25:9E:10,2409719
F0:5E:CD:25:92:C3,2409720
F0:5E:CD:25:9E:37,2409721
F0:5E:CD:25:A2:68,2410750
F0:5E:CD:25:9E:4D,2410751
F0:5E:CD:25:9E:4C,2410752
F0:5E:CD:25:A3:6E,2410753
F0:5E:CD:25:A4:43,2410754
F0:5E:CD:25:A4:14,2410755
F0:5E:CD:25:A4:10,2410756
F0:5E:CD:25:A3:05,2410757
F0:5E:CD:25:A0:63,2410758
F0:5E:CD:25:A2:6C,2410759
F0:5E:CD:25:A4:36,2410760
F0:5E:CD:25:A3:49,2410761
F0:5E:CD:25:A3:09,2410762
F0:5E:CD:25:A2:7E,2410763
F0:5E:CD:25:A3:61,2410764
F0:5E:CD:25:9C:BD,2411601
F0:5E:CD:25:9E:39,2411602
F0:5E:CD:25:9E:50,2411603
F0:5E:CD:25:9E:0D,2411604
D0:2E:AB:D9:33:95,2411605
D0:2E:AB:D9:2D:7C,2411606
D0:2E:AB:D9:BC:56,2411607
F0:5E:CD:25:9E:21,2411608
D0:2E:AB:D9:BB:6E,2411609
F0:5E:CD:25:9D:B0,2411610
F0:5E:CD:25:9E:45,2411611
F0:5E:CD:25:9D:F3,2411612
D0:2E:AB:D9:32:BF,2411613
D0:2E:AB:D9:29:76,2411614
D0:2E:AB:D9:BC:45,2411615
F0:5E:CD:25:9C:AB,2411616
D0:2E:AB:D9:33:B9,2411617
F0:5E:CD:25:A4:20,2411618
D0:2E:AB:D8:C6:3A,2411619
F0:5E:CD:25:9E:1C,2411620
F0:5E:CD:25:9D:F0,2411621
F0:5E:CD:25:9B:D4,2411622
D0:2E:AB:D9:32:64,2411623
F0:5E:CD:25:9E:3E,2411624
F0:5E:CD:25:9E:46,2411625
F0:5E:CD:25:9D:ED,2411626
F0:5E:CD:25:9E:01,2411627
D0:2E:AB:D9:BD:45,2411628
D0:2E:AB:D9:BB:4D,2411629
F0:5E:CD:25:9D:B6,2411630
F0:5E:CD:25:A0:79,2411700
F0:5E:CD:25:A4:33,2411765
F0:5E:CD:25:A3:7E,2411766
